"sciname","nutrient","sex","age","median_ear","median_ear_perc"
"Crassostrea gigas","Copper","Children","5-9",4.63529411764706,463.529411764706
"Crassostrea gigas","Magnesium","Children","5-9",0.7,70
"Crassostrea gigas","Phosphorus","Children","5-9",0.367901234567901,36.7901234567901
"Crassostrea gigas","Riboflavin","Children","5-9",380,38000
"Crassostrea gigas","Thiamin","Children","5-9",0.12,12
"Crassostrea gigas","Vitamin C","Children","5-9",0.136363636363636,13.6363636363636
"Crassostrea gigas","Zinc","Children","5-9",3.7275,372.75
"Crassostrea rhizophorae","Calcium","Children","5-9",0.1475,14.75
"Crassostrea rhizophorae","Copper","Children","5-9",1.5,150
"Crassostrea rhizophorae","Magnesium","Children","5-9",0.109090909090909,10.9090909090909
"Crassostrea rhizophorae","Phosphorus","Children","5-9",0.997530864197531,99.7530864197531
"Crassostrea rhizophorae","Riboflavin","Children","5-9",260,26000
"Crassostrea rhizophorae","Thiamin","Children","5-9",0.14,14
"Crassostrea rhizophorae","Vitamin C","Children","5-9",0.204545454545455,20.4545454545455
"Crassostrea rhizophorae","Zinc","Children","5-9",2.975,297.5
"Crassostrea virginica","Calcium","Children","5-9",0.069375,6.9375
"Crassostrea virginica","Copper","Children","5-9",8.40588235294118,840.588235294118
"Crassostrea virginica","Magnesium","Children","5-9",0.3,30
"Crassostrea virginica","Phosphorus","Children","5-9",0.239506172839506,23.9506172839506
"Crassostrea virginica","Riboflavin","Children","5-9",190,19000
"Crassostrea virginica","Thiamin","Children","5-9",0.16,16
"Crassostrea virginica","Vitamin C","Children","5-9",0.145454545454545,14.5454545454545
"Crassostrea virginica","Zinc","Children","5-9",20.625,2062.5
"Crossocheilus latius","Calcium","Children","5-9",0.24375,24.375
"Crossocheilus latius","Copper","Children","5-9",0.264705882352941,26.4705882352941
"Crossocheilus latius","Magnesium","Children","5-9",0.472727272727273,47.2727272727273
"Crossocheilus latius","Phosphorus","Children","5-9",0.306172839506173,30.6172839506173
"Crossocheilus latius","Riboflavin","Children","5-9",140,14000
"Crossocheilus latius","Thiamin","Children","5-9",0.16,16
"Crossocheilus latius","Zinc","Children","5-9",0.2725,27.25
"Cryptochiton stelleri","Calcium","Children","5-9",0.15125,15.125
"Cryptochiton stelleri","Riboflavin","Children","5-9",680,68000
"Cryptochiton stelleri","Thiamin","Children","5-9",0.1,10
"Ctenopharyngodon idella","Calcium","Children","5-9",0.07075,7.075
"Ctenopharyngodon idella","Riboflavin","Children","5-9",110,11000
"Ctenopharyngodon idella","Thiamin","Children","5-9",0.23,23
"Ctenopharyngodon idella","Vitamin C","Children","5-9",0,0
"Ctenopharyngodon idella","Zinc","Children","5-9",0.37,37
"Cyclocheilichthys apogon","Calcium","Children","5-9",1.412775,141.2775
"Cyclocheilichthys apogon","Zinc","Children","5-9",0.507195,50.7195
"Cyclopterus lumpus","Calcium","Children","5-9",0.009875,0.9875
"Cyclopterus lumpus","Copper","Children","5-9",0.138235294117647,13.8235294117647
"Cyclopterus lumpus","Magnesium","Children","5-9",0.1,10
"Cyclopterus lumpus","Phosphorus","Children","5-9",0.464197530864198,46.4197530864198
"Cyclopterus lumpus","Zinc","Children","5-9",0.3375,33.75
"Cynoscion striatus","Calcium","Children","5-9",0.0225,2.25
"Cynoscion striatus","Phosphorus","Children","5-9",0.506172839506173,50.6172839506173
"Cynoscion striatus","Riboflavin","Children","5-9",632,63200
"Cynoscion striatus","Thiamin","Children","5-9",0.12,12
"Cyprinus carpio","Calcium","Children","5-9",0.05125,5.125
"Cyprinus carpio","Copper","Children","5-9",0.176470588235294,17.6470588235294
"Cyprinus carpio","Magnesium","Children","5-9",0.281818181818182,28.1818181818182
"Cyprinus carpio","Phosphorus","Children","5-9",0.616049382716049,61.6049382716049
"Cyprinus carpio","Riboflavin","Children","5-9",120,12000
"Cyprinus carpio","Thiamin","Children","5-9",0.225,22.5
"Cyprinus carpio","Vitamin C","Children","5-9",0,0
"Cyprinus carpio","Zinc","Children","5-9",0.3125,31.25
"Cyprinus spp. gadinae, merluccius spp. esox spp. clupeidae","Calcium","Children","5-9",0.0375,3.75
"Cyprinus spp. gadinae, merluccius spp. esox spp. clupeidae","Riboflavin","Children","5-9",1500,150000
"Cyprinus spp. gadinae, merluccius spp. esox spp. clupeidae","Thiamin","Children","5-9",0.2,20
"Cypselurus pinnatibarbatus japonicus, cypselurus heterurus doederleini, cypselurus hiraii","Calcium","Children","5-9",0.01625,1.625
"Cypselurus pinnatibarbatus japonicus, cypselurus heterurus doederleini, cypselurus hiraii","Copper","Children","5-9",0.176470588235294,17.6470588235294
"Cypselurus pinnatibarbatus japonicus, cypselurus heterurus doederleini, cypselurus hiraii","Magnesium","Children","5-9",0.336363636363636,33.6363636363636
"Cypselurus pinnatibarbatus japonicus, cypselurus heterurus doederleini, cypselurus hiraii","Phosphorus","Children","5-9",0.839506172839506,83.9506172839506
"Cypselurus pinnatibarbatus japonicus, cypselurus heterurus doederleini, cypselurus hiraii","Riboflavin","Children","5-9",200,20000
"Cypselurus pinnatibarbatus japonicus, cypselurus heterurus doederleini, cypselurus hiraii","Vitamin C","Children","5-9",0.0454545454545455,4.54545454545455
"Cypselurus pinnatibarbatus japonicus, cypselurus heterurus doederleini, cypselurus hiraii","Zinc","Children","5-9",0.2,20
"Dallia pectoralis","Calcium","Children","5-9",0.295,29.5
"Dallia pectoralis","Phosphorus","Children","5-9",0.708641975308642,70.8641975308642
"Dallia pectoralis","Riboflavin","Children","5-9",740,74000
"Dallia pectoralis","Thiamin","Children","5-9",0.02,2
"Danio dangila","Calcium","Children","5-9",1.1578125,115.78125
"Danio dangila","Zinc","Children","5-9",0.5023125,50.23125
"Dasyatis akajei","Calcium","Children","5-9",0.005,0.5
"Dasyatis akajei","Copper","Children","5-9",0.117647058823529,11.7647058823529
"Dasyatis akajei","Magnesium","Children","5-9",0.163636363636364,16.3636363636364
"Dasyatis akajei","Phosphorus","Children","5-9",0.419753086419753,41.9753086419753
"Dasyatis akajei","Riboflavin","Children","5-9",240,24000
"Dasyatis akajei","Vitamin C","Children","5-9",0.0454545454545455,4.54545454545455
"Dasyatis akajei","Zinc","Children","5-9",0.125,12.5
"Daysciaena albida","Copper","Children","5-9",1.95088235294118,195.088235294118
"Daysciaena albida","Zinc","Children","5-9",0.321675,32.1675
"Decapterus maruadsi","Calcium","Children","5-9",0.06625,6.625
"Decapterus maruadsi","Copper","Children","5-9",0.264705882352941,26.4705882352941
"Decapterus maruadsi","Magnesium","Children","5-9",0.3,30
"Decapterus maruadsi","Phosphorus","Children","5-9",0.641975308641975,64.1975308641975
"Decapterus maruadsi","Riboflavin","Children","5-9",380,38000
"Decapterus maruadsi","Vitamin C","Children","5-9",0,0
"Decapterus maruadsi","Zinc","Children","5-9",0.325,32.5
"Decapterus muroadsi","Calcium","Children","5-9",0.02375,2.375
"Decapterus muroadsi","Copper","Children","5-9",0.382352941176471,38.2352941176471
"Decapterus muroadsi","Magnesium","Children","5-9",0.318181818181818,31.8181818181818
"Decapterus muroadsi","Phosphorus","Children","5-9",0.691358024691358,69.1358024691358
"Decapterus muroadsi","Riboflavin","Children","5-9",640,64000
"Decapterus muroadsi","Vitamin C","Children","5-9",0,0
"Decapterus muroadsi","Zinc","Children","5-9",0.25,25
"Delphinapterus leucas","Calcium","Children","5-9",0.01375,1.375
"Delphinapterus leucas","Copper","Children","5-9",0.176470588235294,17.6470588235294
"Delphinapterus leucas","Magnesium","Children","5-9",0.145454545454545,14.5454545454545
"Delphinapterus leucas","Phosphorus","Children","5-9",0.461728395061728,46.1728395061728
"Delphinapterus leucas","Riboflavin","Children","5-9",300,30000
"Delphinapterus leucas","Thiamin","Children","5-9",0.44,44
"Delphinapterus leucas","Zinc","Children","5-9",0.37,37
"Dentex dentex","Calcium","Children","5-9",0.04763975,4.763975
"Dentex dentex","Magnesium","Children","5-9",0.302097272727273,30.2097272727273
"Dentex dentex","Phosphorus","Children","5-9",0.868990617283951,86.8990617283951
"Dentex dentex","Zinc","Children","5-9",0.122425,12.2425
"Dentex tumifrons","Calcium","Children","5-9",0.02875,2.875
"Dentex tumifrons","Copper","Children","5-9",0.0588235294117647,5.88235294117647
"Dentex tumifrons","Magnesium","Children","5-9",0.272727272727273,27.2727272727273
"Dentex tumifrons","Phosphorus","Children","5-9",0.518518518518518,51.8518518518519
"Dentex tumifrons","Riboflavin","Children","5-9",80,8000
"Dentex tumifrons","Vitamin C","Children","5-9",0.0454545454545455,4.54545454545455
"Dentex tumifrons","Zinc","Children","5-9",0.1,10
"Diagramma pictum","Calcium","Children","5-9",0.04875,4.875
"Diagramma pictum","Magnesium","Children","5-9",0.336363636363636,33.6363636363636
"Diagramma pictum","Riboflavin","Children","5-9",180,18000
"Diagramma pictum","Thiamin","Children","5-9",0.02,2
"Diagramma pictum","Vitamin C","Children","5-9",0,0
"Diagramma pictum","Zinc","Children","5-9",0.15,15
"Dicentrarchus labrax","Calcium","Children","5-9",0.033125,3.3125
"Dicentrarchus labrax","Copper","Children","5-9",0.205882352941176,20.5882352941176
"Dicentrarchus labrax","Magnesium","Children","5-9",0.277272727272727,27.7272727272727
"Dicentrarchus labrax","Phosphorus","Children","5-9",0.62962962962963,62.962962962963
"Dicentrarchus labrax","Riboflavin","Children","5-9",260,26000
"Dicentrarchus labrax","Thiamin","Children","5-9",0.5,50
"Dicentrarchus labrax","Vitamin C","Children","5-9",0,0
"Dicentrarchus labrax","Zinc","Children","5-9",0.165,16.5
"Dissostichus eleginoides","Calcium","Children","5-9",0.0125,1.25
"Dissostichus eleginoides","Copper","Children","5-9",0.0294117647058824,2.94117647058824
"Dissostichus eleginoides","Magnesium","Children","5-9",0.163636363636364,16.3636363636364
"Dissostichus eleginoides","Phosphorus","Children","5-9",0.518518518518518,51.8518518518519
"Dissostichus eleginoides","Riboflavin","Children","5-9",160,16000
"Dissostichus eleginoides","Vitamin C","Children","5-9",0,0
"Dissostichus eleginoides","Zinc","Children","5-9",0.075,7.5
"Dolabella auricularia","Calcium","Children","5-9",0.06625,6.625
"Dolabella auricularia","Copper","Children","5-9",0.294117647058824,29.4117647058824
"Dolabella auricularia","Magnesium","Children","5-9",1.91818181818182,191.818181818182
"Dolabella auricularia","Phosphorus","Children","5-9",0.37037037037037,37.037037037037
"Dolabella auricularia","Riboflavin","Children","5-9",200,20000
"Dolabella auricularia","Thiamin","Children","5-9",0.02,2
"Dolabella auricularia","Vitamin C","Children","5-9",0.0227272727272727,2.27272727272727
"Dolabella auricularia","Zinc","Children","5-9",0.45,45
"Donax trunculus","Calcium","Children","5-9",0.4103280625,41.03280625
"Donax trunculus","Magnesium","Children","5-9",0.801572272727273,80.1572272727273
"Dorsanum miran","Copper","Children","5-9",1.33823529411765,133.823529411765
"Dorsanum miran","Zinc","Children","5-9",0.5775,57.75
"Dussumieria acuta","Calcium","Children","5-9",1.0999625,109.99625
"Egeria radiata","Copper","Children","5-9",0.482352941176471,48.2352941176471
"Egeria radiata","Zinc","Children","5-9",0.1325,13.25
"Eleginus gracilis","Calcium","Children","5-9",0.0075,0.75
"Eleginus gracilis","Phosphorus","Children","5-9",0.501234567901235,50.1234567901235
"Eleginus gracilis","Riboflavin","Children","5-9",610,61000
"Eleginus gracilis","Thiamin","Children","5-9",0.23,23
"Eleotris fusca","Calcium","Children","5-9",1.225,122.5
"Eleotris fusca","Copper","Children","5-9",0.0882352941176471,8.8235294117647
"Eleotris fusca","Magnesium","Children","5-9",0.354545454545455,35.4545454545455
"Eleotris fusca","Phosphorus","Children","5-9",1.4320987654321,143.20987654321
"Eleotris fusca","Zinc","Children","5-9",0.5,50
"Eleutheronema tetradactylum","Calcium","Children","5-9",0.04625,4.625
"Eleutheronema tetradactylum","Copper","Children","5-9",1.53323529411765,153.323529411765
"Eleutheronema tetradactylum","Magnesium","Children","5-9",0.272727272727273,27.2727272727273
"Eleutheronema tetradactylum","Phosphorus","Children","5-9",0.493827160493827,49.3827160493827
"Eleutheronema tetradactylum","Zinc","Children","5-9",0.3727875,37.27875
"Elops lacerta","Zinc","Children","5-9",0.0605,6.05
"Engraulis encrasicholus","Calcium","Children","5-9",0.12375,12.375
"Engraulis encrasicholus","Copper","Children","5-9",0.620588235294118,62.0588235294118
"Engraulis encrasicholus","Magnesium","Children","5-9",0.286363636363636,28.6363636363636
"Engraulis encrasicholus","Phosphorus","Children","5-9",0.261728395061728,26.1728395061728
"Engraulis encrasicholus","Thiamin","Children","5-9",0.075,7.5
"Engraulis encrasicholus","Zinc","Children","5-9",0.43,43
"Engraulis encrasicolus","Calcium","Children","5-9",0.11125,11.125
"Engraulis encrasicolus","Copper","Children","5-9",0.441176470588235,44.1176470588235
"Engraulis encrasicolus","Magnesium","Children","5-9",0.390909090909091,39.0909090909091
"Engraulis encrasicolus","Phosphorus","Children","5-9",0.503703703703704,50.3703703703704
"Engraulis encrasicolus","Riboflavin","Children","5-9",300,30000
"Engraulis encrasicolus","Thiamin","Children","5-9",0.12,12
"Engraulis encrasicolus","Vitamin C","Children","5-9",0,0
"Engraulis encrasicolus","Zinc","Children","5-9",0.475,47.5
"Engraulis japonicus","Calcium","Children","5-9",0.075,7.5
"Engraulis japonicus","Copper","Children","5-9",0.5,50
"Engraulis japonicus","Magnesium","Children","5-9",0.290909090909091,29.0909090909091
"Engraulis japonicus","Phosphorus","Children","5-9",0.592592592592593,59.2592592592593
"Engraulis japonicus","Riboflavin","Children","5-9",320,32000
"Engraulis japonicus","Vitamin C","Children","5-9",0.0454545454545455,4.54545454545455
"Engraulis japonicus","Zinc","Children","5-9",0.25,25
"Ensis directus","Calcium","Children","5-9",0.0625,6.25
"Ensis directus","Copper","Children","5-9",1.32352941176471,132.352941176471
"Ensis directus","Phosphorus","Children","5-9",0.404938271604938,40.4938271604938
"Ensis directus","Riboflavin","Children","5-9",980,98000
"Ensis directus","Thiamin","Children","5-9",0.18,18
"Ensis directus","Zinc","Children","5-9",1.58,158
"Enteroctopus dofleini","Calcium","Children","5-9",0.03,3
"Enteroctopus dofleini","Copper","Children","5-9",1.08823529411765,108.823529411765
"Enteroctopus dofleini","Phosphorus","Children","5-9",0.390123456790123,39.0123456790123
"Enteroctopus dofleini","Riboflavin","Children","5-9",80,8000
"Enteroctopus dofleini","Thiamin","Children","5-9",0.06,6
"Enteroctopus dofleini","Zinc","Children","5-9",0.3575,35.75
"Epinephelus aeneus","Calcium","Children","5-9",0.035,3.5
"Epinephelus aeneus","Copper","Children","5-9",0.205882352941176,20.5882352941176
"Epinephelus aeneus","Magnesium","Children","5-9",0.386363636363636,38.6363636363636
"Epinephelus aeneus","Phosphorus","Children","5-9",0.616049382716049,61.6049382716049
"Epinephelus aeneus","Riboflavin","Children","5-9",210,21000
"Epinephelus aeneus","Thiamin","Children","5-9",0.26,26
"Epinephelus aeneus","Vitamin C","Children","5-9",0,0
"Epinephelus aeneus","Zinc","Children","5-9",0.2125,21.25
"Epinephelus areolatus","Calcium","Children","5-9",1.8155125,181.55125
"Epinephelus epistictus","Calcium","Children","5-9",0.02625,2.625
"Epinephelus epistictus","Phosphorus","Children","5-9",0.353086419753086,35.3086419753086
"Epinephelus epistictus","Riboflavin","Children","5-9",20,2000
"Epinephelus epistictus","Thiamin","Children","5-9",0.16,16
"Epinephelus epistictus","Vitamin C","Children","5-9",0,0
"Erignathus barbatus","Calcium","Children","5-9",0.0125,1.25
"Erignathus barbatus","Magnesium","Children","5-9",0.218181818181818,21.8181818181818
"Erignathus barbatus","Phosphorus","Children","5-9",0.488888888888889,48.8888888888889
"Erignathus barbatus","Riboflavin","Children","5-9",510,51000
"Erignathus barbatus","Thiamin","Children","5-9",0.4,40
"Erimacrus isenbeckii","Calcium","Children","5-9",0.07625,7.625
"Erimacrus isenbeckii","Copper","Children","5-9",1.38235294117647,138.235294117647
"Erimacrus isenbeckii","Magnesium","Children","5-9",0.345454545454545,34.5454545454545
"Erimacrus isenbeckii","Phosphorus","Children","5-9",0.641975308641975,64.1975308641975
"Erimacrus isenbeckii","Riboflavin","Children","5-9",460,46000
"Erimacrus isenbeckii","Vitamin C","Children","5-9",0,0
"Erimacrus isenbeckii","Zinc","Children","5-9",0.825,82.5
"Esomus danricus","Calcium","Children","5-9",1.11375,111.375
"Esomus danricus","Magnesium","Children","5-9",0.345454545454545,34.5454545454545
"Esomus danricus","Zinc","Children","5-9",1,100
"Esox lucius","Calcium","Children","5-9",0.0325,3.25
"Esox lucius","Copper","Children","5-9",0.0882352941176471,8.8235294117647
"Esox lucius","Magnesium","Children","5-9",0.236363636363636,23.6363636363636
"Esox lucius","Phosphorus","Children","5-9",0.575308641975309,57.5308641975309
"Esox lucius","Riboflavin","Children","5-9",120,12000
"Esox lucius","Thiamin","Children","5-9",0.12,12
"Esox lucius","Vitamin C","Children","5-9",0.154545454545455,15.4545454545455
"Esox lucius","Zinc","Children","5-9",0.18875,18.875
"Etroplus suratensis","Copper","Children","5-9",1.56970588235294,156.970588235294
"Etroplus suratensis","Zinc","Children","5-9",0.294925,29.4925
"Etrumeus teres","Calcium","Children","5-9",0.10625,10.625
"Etrumeus teres","Copper","Children","5-9",0.470588235294118,47.0588235294118
"Etrumeus teres","Magnesium","Children","5-9",0.336363636363636,33.6363636363636
"Etrumeus teres","Phosphorus","Children","5-9",0.716049382716049,71.6049382716049
"Etrumeus teres","Riboflavin","Children","5-9",720,72000
"Etrumeus teres","Vitamin C","Children","5-9",0.0454545454545455,4.54545454545455
"Etrumeus teres","Zinc","Children","5-9",0.325,32.5
"Euphausia superba","Calcium","Children","5-9",0.45,45
"Euphausia superba","Copper","Children","5-9",6.76470588235294,676.470588235294
"Euphausia superba","Magnesium","Children","5-9",0.772727272727273,77.2727272727273
"Euphausia superba","Phosphorus","Children","5-9",0.765432098765432,76.5432098765432
"Euphausia superba","Riboflavin","Children","5-9",520,52000
"Euphausia superba","Vitamin C","Children","5-9",0.0909090909090909,9.09090909090909
"Euphausia superba","Zinc","Children","5-9",0.25,25
"Euthynnus affinis","Calcium","Children","5-9",0.01125,1.125
"Euthynnus affinis","Copper","Children","5-9",0.294117647058824,29.4117647058824
"Euthynnus affinis","Magnesium","Children","5-9",0.3,30
"Euthynnus affinis","Phosphorus","Children","5-9",0.449382716049383,44.9382716049383
"Euthynnus affinis","Riboflavin","Children","5-9",120,12000
"Euthynnus affinis","Thiamin","Children","5-9",0.12,12
"Euthynnus affinis","Vitamin C","Children","5-9",0.0136363636363636,1.36363636363636
"Euthynnus affinis","Zinc","Children","5-9",0.15,15
"Euthynnus pelamis","Calcium","Children","5-9",0.03625,3.625
"Euthynnus pelamis","Copper","Children","5-9",0.252941176470588,25.2941176470588
"Euthynnus pelamis","Magnesium","Children","5-9",0.309090909090909,30.9090909090909
"Euthynnus pelamis","Phosphorus","Children","5-9",0.548148148148148,54.8148148148148
"Euthynnus pelamis","Thiamin","Children","5-9",0.066,6.6
"Euthynnus pelamis","Zinc","Children","5-9",0.205,20.5
"Eutropiichthys vacha","Calcium","Children","5-9",0.65,65
"Eutropiichthys vacha","Copper","Children","5-9",0.323529411764706,32.3529411764706
"Eutropiichthys vacha","Phosphorus","Children","5-9",0.888888888888889,88.8888888888889
"Evechinus chloroticus","Calcium","Children","5-9",0.04375,4.375
"Evechinus chloroticus","Phosphorus","Children","5-9",0.493827160493827,49.3827160493827
"Evechinus chloroticus","Riboflavin","Children","5-9",340,34000
"Evechinus chloroticus","Thiamin","Children","5-9",0.12,12
"Evechinus chloroticus","Zinc","Children","5-9",0.625,62.5
"Evynnis japonica","Calcium","Children","5-9",0.04125,4.125
"Evynnis japonica","Copper","Children","5-9",0.0882352941176471,8.8235294117647
"Evynnis japonica","Magnesium","Children","5-9",0.290909090909091,29.0909090909091
"Evynnis japonica","Phosphorus","Children","5-9",0.567901234567901,56.7901234567901
"Evynnis japonica","Riboflavin","Children","5-9",200,20000
"Evynnis japonica","Vitamin C","Children","5-9",0.0909090909090909,9.09090909090909
"Evynnis japonica","Zinc","Children","5-9",0.1,10
"Fulvia mutica","Calcium","Children","5-9",0.02375,2.375
"Fulvia mutica","Copper","Children","5-9",0.147058823529412,14.7058823529412
"Fulvia mutica","Magnesium","Children","5-9",0.390909090909091,39.0909090909091
"Fulvia mutica","Phosphorus","Children","5-9",0.296296296296296,29.6296296296296
"Fulvia mutica","Riboflavin","Children","5-9",120,12000
"Fulvia mutica","Vitamin C","Children","5-9",0.0454545454545455,4.54545454545455
"Fulvia mutica","Zinc","Children","5-9",0.4,40
"Gadus chalcogrammus","Calcium","Children","5-9",0.01625,1.625
"Gadus chalcogrammus","Copper","Children","5-9",0.0902941176470588,9.02941176470588
"Gadus chalcogrammus","Magnesium","Children","5-9",0.255454545454545,25.5454545454545
"Gadus chalcogrammus","Phosphorus","Children","5-9",0.481358024691358,48.1358024691358
"Gadus chalcogrammus","Riboflavin","Children","5-9",180,18000
"Gadus chalcogrammus","Thiamin","Children","5-9",0.07,7
"Gadus chalcogrammus","Vitamin C","Children","5-9",0.0227272727272727,2.27272727272727
"Gadus chalcogrammus","Zinc","Children","5-9",0.104475,10.4475
"Gadus macrocephalus","Calcium","Children","5-9",0.015625,1.5625
"Gadus macrocephalus","Copper","Children","5-9",0.080735294117647,8.0735294117647
"Gadus macrocephalus","Magnesium","Children","5-9",0.252727272727273,25.2727272727273
"Gadus macrocephalus","Phosphorus","Children","5-9",0.542839506172839,54.2839506172839
"Gadus macrocephalus","Riboflavin","Children","5-9",100,10000
"Gadus macrocephalus","Thiamin","Children","5-9",0.066,6.6
"Gadus macrocephalus","Vitamin C","Children","5-9",0,0
"Gadus macrocephalus","Zinc","Children","5-9",0.095,9.5
"Gadus morhua","Calcium","Children","5-9",0.0175,1.75
"Gadus morhua","Copper","Children","5-9",0.0823529411764706,8.23529411764706
"Gadus morhua","Magnesium","Children","5-9",0.245454545454545,24.5454545454545
"Gadus morhua","Phosphorus","Children","5-9",0.508641975308642,50.8641975308642
"Gadus morhua","Riboflavin","Children","5-9",125,12500
"Gadus morhua","Thiamin","Children","5-9",0.11,11
"Gadus morhua","Vitamin C","Children","5-9",0,0
"Gadus morhua","Zinc","Children","5-9",0.11625,11.625
"Galeoides decadactylus","Zinc","Children","5-9",0.0505,5.05
"Garra mullya","Calcium","Children","5-9",1.02375,102.375
"Garra mullya","Zinc","Children","5-9",0.95,95
"Gasterochisma melampus","Calcium","Children","5-9",0.01375,1.375
"Gasterochisma melampus","Copper","Children","5-9",0.0735294117647059,7.35294117647059
"Gasterochisma melampus","Magnesium","Children","5-9",0.281818181818182,28.1818181818182
"Gasterochisma melampus","Phosphorus","Children","5-9",0.622222222222222,62.2222222222222
"Gasterochisma melampus","Zinc","Children","5-9",0.125,12.5
"Gazza achlamys","Calcium","Children","5-9",0.2501,25.01
"Genypterus capensis","Calcium","Children","5-9",0.05875,5.875
"Genypterus capensis","Copper","Children","5-9",0.0588235294117647,5.88235294117647
"Genypterus capensis","Magnesium","Children","5-9",0.254545454545455,25.4545454545455
"Genypterus capensis","Phosphorus","Children","5-9",0.419753086419753,41.9753086419753
"Genypterus capensis","Riboflavin","Children","5-9",140,14000
"Genypterus capensis","Vitamin C","Children","5-9",0.0454545454545455,4.54545454545455
"Genypterus capensis","Zinc","Children","5-9",0.125,12.5
"Gibelion catla","Calcium","Children","5-9",0.6625,66.25
"Gibelion catla","Copper","Children","5-9",0.0882352941176471,8.8235294117647
"Gibelion catla","Magnesium","Children","5-9",0.327272727272727,32.7272727272727
"Gibelion catla","Phosphorus","Children","5-9",0.580246913580247,58.0246913580247
"Gibelion catla","Riboflavin","Children","5-9",180,18000
"Gibelion catla","Thiamin","Children","5-9",0.16,16
"Gibelion catla","Zinc","Children","5-9",0.12,12
"Girella punctata","Calcium","Children","5-9",0.03375,3.375
"Girella punctata","Copper","Children","5-9",0.0882352941176471,8.8235294117647
"Girella punctata","Magnesium","Children","5-9",0.272727272727273,27.2727272727273
"Girella punctata","Phosphorus","Children","5-9",0.592592592592593,59.2592592592593
"Girella punctata","Riboflavin","Children","5-9",760,76000
"Girella punctata","Vitamin C","Children","5-9",0,0
"Girella punctata","Zinc","Children","5-9",0.225,22.5
"Glossanodon semifasciatus","Calcium","Children","5-9",0.0875,8.75
"Glossanodon semifasciatus","Copper","Children","5-9",0.0882352941176471,8.8235294117647
"Glossanodon semifasciatus","Magnesium","Children","5-9",0.245454545454545,24.5454545454545
"Glossanodon semifasciatus","Phosphorus","Children","5-9",0.54320987654321,54.320987654321
"Glossanodon semifasciatus","Riboflavin","Children","5-9",520,52000
"Glossanodon semifasciatus","Vitamin C","Children","5-9",0.0454545454545455,4.54545454545455
"Glossanodon semifasciatus","Zinc","Children","5-9",0.1,10
"Glossogobius giuris","Calcium","Children","5-9",0.741875,74.1875
"Glossogobius giuris","Copper","Children","5-9",0.147058823529412,14.7058823529412
"Glossogobius giuris","Magnesium","Children","5-9",0.227272727272727,22.7272727272727
"Glossogobius giuris","Phosphorus","Children","5-9",1.05555555555556,105.555555555556
"Glossogobius giuris","Riboflavin","Children","5-9",80,8000
"Glossogobius giuris","Thiamin","Children","5-9",0.04,4
"Glossogobius giuris","Zinc","Children","5-9",0.37875,37.875
"Gnathopogon caerulescens","Calcium","Children","5-9",1.0625,106.25
"Gnathopogon caerulescens","Copper","Children","5-9",0.205882352941176,20.5882352941176
"Gnathopogon caerulescens","Magnesium","Children","5-9",0.354545454545455,35.4545454545455
"Gnathopogon caerulescens","Phosphorus","Children","5-9",1.58024691358025,158.024691358025
"Gnathopogon caerulescens","Riboflavin","Children","5-9",400,40000
"Gnathopogon caerulescens","Vitamin C","Children","5-9",0.0909090909090909,9.09090909090909
"Gnathopogon caerulescens","Zinc","Children","5-9",0.85,85
"Gonatus fabricii","Calcium","Children","5-9",0.0165,1.65
"Gonatus fabricii","Copper","Children","5-9",2.88235294117647,288.235294117647
"Gonatus fabricii","Magnesium","Children","5-9",0.313636363636364,31.3636363636364
"Gonatus fabricii","Phosphorus","Children","5-9",0.507407407407407,50.7407407407407
"Gonatus fabricii","Riboflavin","Children","5-9",160,16000
"Gonatus fabricii","Thiamin","Children","5-9",0.165,16.5
"Gonatus fabricii","Vitamin C","Children","5-9",0.0568181818181818,5.68181818181818
"Gonatus fabricii","Zinc","Children","5-9",0.306875,30.6875
"Gudusia chapra","Calcium","Children","5-9",1.326875,132.6875
"Gudusia chapra","Magnesium","Children","5-9",0.354545454545455,35.4545454545455
"Gudusia chapra","Phosphorus","Children","5-9",1.38271604938272,138.271604938272
"Gudusia chapra","Zinc","Children","5-9",0.50875,50.875
"Haliotis discus discus, haliotis madaka, haliotis gigantea","Calcium","Children","5-9",0.025,2.5
"Haliotis discus discus, haliotis madaka, haliotis gigantea","Copper","Children","5-9",1.05882352941176,105.882352941176
"Haliotis discus discus, haliotis madaka, haliotis gigantea","Magnesium","Children","5-9",0.490909090909091,49.0909090909091
"Haliotis discus discus, haliotis madaka, haliotis gigantea","Phosphorus","Children","5-9",0.246913580246914,24.6913580246914
"Haliotis discus discus, haliotis madaka, haliotis gigantea","Riboflavin","Children","5-9",180,18000
"Haliotis discus discus, haliotis madaka, haliotis gigantea","Vitamin C","Children","5-9",0.0454545454545455,4.54545454545455
"Haliotis discus discus, haliotis madaka, haliotis gigantea","Zinc","Children","5-9",0.175,17.5
"Haliotis diversicolor aquatilis","Calcium","Children","5-9",0.03,3
"Haliotis diversicolor aquatilis","Copper","Children","5-9",0.88235294117647,88.2352941176471
"Haliotis diversicolor aquatilis","Magnesium","Children","5-9",0.5,50
"Haliotis diversicolor aquatilis","Phosphorus","Children","5-9",0.395061728395062,39.5061728395062
"Haliotis diversicolor aquatilis","Riboflavin","Children","5-9",280,28000
"Haliotis diversicolor aquatilis","Vitamin C","Children","5-9",0.0454545454545455,4.54545454545455
